1	2	3	5	9	4	7	13	12	6	11	8	15	16	14	10
2	1	4	6	10	3	8	14	11	5	12	7	16	15	13	9
3	4	1	7	11	2	5	15	10	8	9	6	13	14	16	12
4	3	2	8	12	1	6	16	9	7	10	5	14	13	15	11
5	6	7	1	13	8	3	9	16	2	15	4	11	12	10	14
6	5	8	2	14	7	4	10	15	1	16	3	12	11	9	13
7	8	5	3	15	6	1	11	14	4	13	2	9	10	12	16
8	7	6	4	16	5	2	12	13	3	14	1	10	9	11	15
9	10	11	13	1	12	15	5	4	14	3	16	7	8	6	2
10	9	12	14	2	11	16	6	3	13	4	15	8	7	5	1
11	12	9	15	3	10	13	7	2	16	1	14	5	6	8	4
12	11	10	16	4	9	14	8	1	15	2	13	6	5	7	3
13	14	15	9	5	16	11	1	8	10	7	12	3	4	2	6
14	13	16	10	6	15	12	2	7	9	8	11	4	3	1	5
15	16	13	11	7	14	9	3	6	12	5	10	1	2	4	8
16	15	14	12	8	13	10	4	5	11	6	9	2	1	3	7
1	3	5	9	4	7	13	12	6	11	8	15	16	14	10	2
2	4	6	10	3	8	14	11	5	12	7	16	15	13	9	1
3	1	7	11	2	5	15	10	8	9	6	13	14	16	12	4
4	2	8	12	1	6	16	9	7	10	5	14	13	15	11	3
5	7	1	13	8	3	9	16	2	15	4	11	12	10	14	6
6	8	2	14	7	4	10	15	1	16	3	12	11	9	13	5
7	5	3	15	6	1	11	14	4	13	2	9	10	12	16	8
8	6	4	16	5	2	12	13	3	14	1	10	9	11	15	7
9	11	13	1	12	15	5	4	14	3	16	7	8	6	2	10
10	12	14	2	11	16	6	3	13	4	15	8	7	5	1	9
11	9	15	3	10	13	7	2	16	1	14	5	6	8	4	12
12	10	16	4	9	14	8	1	15	2	13	6	5	7	3	11
13	15	9	5	16	11	1	8	10	7	12	3	4	2	6	14
14	16	10	6	15	12	2	7	9	8	11	4	3	1	5	13
15	13	11	7	14	9	3	6	12	5	10	1	2	4	8	16
16	14	12	8	13	10	4	5	11	6	9	2	1	3	7	15
1	4	7	13	12	6	11	8	15	16	14	10	2	3	5	9
2	3	8	14	11	5	12	7	16	15	13	9	1	4	6	10
3	2	5	15	10	8	9	6	13	14	16	12	4	1	7	11
4	1	6	16	9	7	10	5	14	13	15	11	3	2	8	12
5	8	3	9	16	2	15	4	11	12	10	14	6	7	1	13
6	7	4	10	15	1	16	3	12	11	9	13	5	8	2	14
7	6	1	11	14	4	13	2	9	10	12	16	8	5	3	15
8	5	2	12	13	3	14	1	10	9	11	15	7	6	4	16
9	12	15	5	4	14	3	16	7	8	6	2	10	11	13	1
10	11	16	6	3	13	4	15	8	7	5	1	9	12	14	2
11	10	13	7	2	16	1	14	5	6	8	4	12	9	15	3
12	9	14	8	1	15	2	13	6	5	7	3	11	10	16	4
13	16	11	1	8	10	7	12	3	4	2	6	14	15	9	5
14	15	12	2	7	9	8	11	4	3	1	5	13	16	10	6
15	14	9	3	6	12	5	10	1	2	4	8	16	13	11	7
16	13	10	4	5	11	6	9	2	1	3	7	15	14	12	8
1	5	9	4	7	13	12	6	11	8	15	16	14	10	2	3
2	6	10	3	8	14	11	5	12	7	16	15	13	9	1	4
3	7	11	2	5	15	10	8	9	6	13	14	16	12	4	1
4	8	12	1	6	16	9	7	10	5	14	13	15	11	3	2
5	1	13	8	3	9	16	2	15	4	11	12	10	14	6	7
6	2	14	7	4	10	15	1	16	3	12	11	9	13	5	8
7	3	15	6	1	11	14	4	13	2	9	10	12	16	8	5
8	4	16	5	2	12	13	3	14	1	10	9	11	15	7	6
9	13	1	12	15	5	4	14	3	16	7	8	6	2	10	11
10	14	2	11	16	6	3	13	4	15	8	7	5	1	9	12
11	15	3	10	13	7	2	16	1	14	5	6	8	4	12	9
12	16	4	9	14	8	1	15	2	13	6	5	7	3	11	10
13	9	5	16	11	1	8	10	7	12	3	4	2	6	14	15
14	10	6	15	12	2	7	9	8	11	4	3	1	5	13	16
15	11	7	14	9	3	6	12	5	10	1	2	4	8	16	13
16	12	8	13	10	4	5	11	6	9	2	1	3	7	15	14
1	6	11	8	15	16	14	10	2	3	5	9	4	7	13	12
2	5	12	7	16	15	13	9	1	4	6	10	3	8	14	11
3	8	9	6	13	14	16	12	4	1	7	11	2	5	15	10
4	7	10	5	14	13	15	11	3	2	8	12	1	6	16	9
5	2	15	4	11	12	10	14	6	7	1	13	8	3	9	16
6	1	16	3	12	11	9	13	5	8	2	14	7	4	10	15
7	4	13	2	9	10	12	16	8	5	3	15	6	1	11	14
8	3	14	1	10	9	11	15	7	6	4	16	5	2	12	13
9	14	3	16	7	8	6	2	10	11	13	1	12	15	5	4
10	13	4	15	8	7	5	1	9	12	14	2	11	16	6	3
11	16	1	14	5	6	8	4	12	9	15	3	10	13	7	2
12	15	2	13	6	5	7	3	11	10	16	4	9	14	8	1
13	10	7	12	3	4	2	6	14	15	9	5	16	11	1	8
14	9	8	11	4	3	1	5	13	16	10	6	15	12	2	7
15	12	5	10	1	2	4	8	16	13	11	7	14	9	3	6
16	11	6	9	2	1	3	7	15	14	12	8	13	10	4	5
1	7	13	12	6	11	8	15	16	14	10	2	3	5	9	4
2	8	14	11	5	12	7	16	15	13	9	1	4	6	10	3
3	5	15	10	8	9	6	13	14	16	12	4	1	7	11	2
4	6	16	9	7	10	5	14	13	15	11	3	2	8	12	1
5	3	9	16	2	15	4	11	12	10	14	6	7	1	13	8
6	4	10	15	1	16	3	12	11	9	13	5	8	2	14	7
7	1	11	14	4	13	2	9	10	12	16	8	5	3	15	6
8	2	12	13	3	14	1	10	9	11	15	7	6	4	16	5
9	15	5	4	14	3	16	7	8	6	2	10	11	13	1	12
10	16	6	3	13	4	15	8	7	5	1	9	12	14	2	11
11	13	7	2	16	1	14	5	6	8	4	12	9	15	3	10
12	14	8	1	15	2	13	6	5	7	3	11	10	16	4	9
13	11	1	8	10	7	12	3	4	2	6	14	15	9	5	16
14	12	2	7	9	8	11	4	3	1	5	13	16	10	6	15
15	9	3	6	12	5	10	1	2	4	8	16	13	11	7	14
16	10	4	5	11	6	9	2	1	3	7	15	14	12	8	13
1	8	15	16	14	10	2	3	5	9	4	7	13	12	6	11
2	7	16	15	13	9	1	4	6	10	3	8	14	11	5	12
3	6	13	14	16	12	4	1	7	11	2	5	15	10	8	9
4	5	14	13	15	11	3	2	8	12	1	6	16	9	7	10
5	4	11	12	10	14	6	7	1	13	8	3	9	16	2	15
6	3	12	11	9	13	5	8	2	14	7	4	10	15	1	16
7	2	9	10	12	16	8	5	3	15	6	1	11	14	4	13
8	1	10	9	11	15	7	6	4	16	5	2	12	13	3	14
9	16	7	8	6	2	10	11	13	1	12	15	5	4	14	3
10	15	8	7	5	1	9	12	14	2	11	16	6	3	13	4
11	14	5	6	8	4	12	9	15	3	10	13	7	2	16	1
12	13	6	5	7	3	11	10	16	4	9	14	8	1	15	2
13	12	3	4	2	6	14	15	9	5	16	11	1	8	10	7
14	11	4	3	1	5	13	16	10	6	15	12	2	7	9	8
15	10	1	2	4	8	16	13	11	7	14	9	3	6	12	5
16	9	2	1	3	7	15	14	12	8	13	10	4	5	11	6
1	9	4	7	13	12	6	11	8	15	16	14	10	2	3	5
2	10	3	8	14	11	5	12	7	16	15	13	9	1	4	6
3	11	2	5	15	10	8	9	6	13	14	16	12	4	1	7
4	12	1	6	16	9	7	10	5	14	13	15	11	3	2	8
5	13	8	3	9	16	2	15	4	11	12	10	14	6	7	1
6	14	7	4	10	15	1	16	3	12	11	9	13	5	8	2
7	15	6	1	11	14	4	13	2	9	10	12	16	8	5	3
8	16	5	2	12	13	3	14	1	10	9	11	15	7	6	4
9	1	12	15	5	4	14	3	16	7	8	6	2	10	11	13
10	2	11	16	6	3	13	4	15	8	7	5	1	9	12	14
11	3	10	13	7	2	16	1	14	5	6	8	4	12	9	15
12	4	9	14	8	1	15	2	13	6	5	7	3	11	10	16
13	5	16	11	1	8	10	7	12	3	4	2	6	14	15	9
14	6	15	12	2	7	9	8	11	4	3	1	5	13	16	10
15	7	14	9	3	6	12	5	10	1	2	4	8	16	13	11
16	8	13	10	4	5	11	6	9	2	1	3	7	15	14	12
1	10	2	3	5	9	4	7	13	12	6	11	8	15	16	14
2	9	1	4	6	10	3	8	14	11	5	12	7	16	15	13
3	12	4	1	7	11	2	5	15	10	8	9	6	13	14	16
4	11	3	2	8	12	1	6	16	9	7	10	5	14	13	15
5	14	6	7	1	13	8	3	9	16	2	15	4	11	12	10
6	13	5	8	2	14	7	4	10	15	1	16	3	12	11	9
7	16	8	5	3	15	6	1	11	14	4	13	2	9	10	12
8	15	7	6	4	16	5	2	12	13	3	14	1	10	9	11
9	2	10	11	13	1	12	15	5	4	14	3	16	7	8	6
10	1	9	12	14	2	11	16	6	3	13	4	15	8	7	5
11	4	12	9	15	3	10	13	7	2	16	1	14	5	6	8
12	3	11	10	16	4	9	14	8	1	15	2	13	6	5	7
13	6	14	15	9	5	16	11	1	8	10	7	12	3	4	2
14	5	13	16	10	6	15	12	2	7	9	8	11	4	3	1
15	8	16	13	11	7	14	9	3	6	12	5	10	1	2	4
16	7	15	14	12	8	13	10	4	5	11	6	9	2	1	3
1	11	8	15	16	14	10	2	3	5	9	4	7	13	12	6
2	12	7	16	15	13	9	1	4	6	10	3	8	14	11	5
3	9	6	13	14	16	12	4	1	7	11	2	5	15	10	8
4	10	5	14	13	15	11	3	2	8	12	1	6	16	9	7
5	15	4	11	12	10	14	6	7	1	13	8	3	9	16	2
6	16	3	12	11	9	13	5	8	2	14	7	4	10	15	1
7	13	2	9	10	12	16	8	5	3	15	6	1	11	14	4
8	14	1	10	9	11	15	7	6	4	16	5	2	12	13	3
9	3	16	7	8	6	2	10	11	13	1	12	15	5	4	14
10	4	15	8	7	5	1	9	12	14	2	11	16	6	3	13
11	1	14	5	6	8	4	12	9	15	3	10	13	7	2	16
12	2	13	6	5	7	3	11	10	16	4	9	14	8	1	15
13	7	12	3	4	2	6	14	15	9	5	16	11	1	8	10
14	8	11	4	3	1	5	13	16	10	6	15	12	2	7	9
15	5	10	1	2	4	8	16	13	11	7	14	9	3	6	12
16	6	9	2	1	3	7	15	14	12	8	13	10	4	5	11
1	12	6	11	8	15	16	14	10	2	3	5	9	4	7	13
2	11	5	12	7	16	15	13	9	1	4	6	10	3	8	14
3	10	8	9	6	13	14	16	12	4	1	7	11	2	5	15
4	9	7	10	5	14	13	15	11	3	2	8	12	1	6	16
5	16	2	15	4	11	12	10	14	6	7	1	13	8	3	9
6	15	1	16	3	12	11	9	13	5	8	2	14	7	4	10
7	14	4	13	2	9	10	12	16	8	5	3	15	6	1	11
8	13	3	14	1	10	9	11	15	7	6	4	16	5	2	12
9	4	14	3	16	7	8	6	2	10	11	13	1	12	15	5
10	3	13	4	15	8	7	5	1	9	12	14	2	11	16	6
11	2	16	1	14	5	6	8	4	12	9	15	3	10	13	7
12	1	15	2	13	6	5	7	3	11	10	16	4	9	14	8
13	8	10	7	12	3	4	2	6	14	15	9	5	16	11	1
14	7	9	8	11	4	3	1	5	13	16	10	6	15	12	2
15	6	12	5	10	1	2	4	8	16	13	11	7	14	9	3
16	5	11	6	9	2	1	3	7	15	14	12	8	13	10	4
1	13	12	6	11	8	15	16	14	10	2	3	5	9	4	7
2	14	11	5	12	7	16	15	13	9	1	4	6	10	3	8
3	15	10	8	9	6	13	14	16	12	4	1	7	11	2	5
4	16	9	7	10	5	14	13	15	11	3	2	8	12	1	6
5	9	16	2	15	4	11	12	10	14	6	7	1	13	8	3
6	10	15	1	16	3	12	11	9	13	5	8	2	14	7	4
7	11	14	4	13	2	9	10	12	16	8	5	3	15	6	1
8	12	13	3	14	1	10	9	11	15	7	6	4	16	5	2
9	5	4	14	3	16	7	8	6	2	10	11	13	1	12	15
10	6	3	13	4	15	8	7	5	1	9	12	14	2	11	16
11	7	2	16	1	14	5	6	8	4	12	9	15	3	10	13
12	8	1	15	2	13	6	5	7	3	11	10	16	4	9	14
13	1	8	10	7	12	3	4	2	6	14	15	9	5	16	11
14	2	7	9	8	11	4	3	1	5	13	16	10	6	15	12
15	3	6	12	5	10	1	2	4	8	16	13	11	7	14	9
16	4	5	11	6	9	2	1	3	7	15	14	12	8	13	10
1	14	10	2	3	5	9	4	7	13	12	6	11	8	15	16
2	13	9	1	4	6	10	3	8	14	11	5	12	7	16	15
3	16	12	4	1	7	11	2	5	15	10	8	9	6	13	14
4	15	11	3	2	8	12	1	6	16	9	7	10	5	14	13
5	10	14	6	7	1	13	8	3	9	16	2	15	4	11	12
6	9	13	5	8	2	14	7	4	10	15	1	16	3	12	11
7	12	16	8	5	3	15	6	1	11	14	4	13	2	9	10
8	11	15	7	6	4	16	5	2	12	13	3	14	1	10	9
9	6	2	10	11	13	1	12	15	5	4	14	3	16	7	8
10	5	1	9	12	14	2	11	16	6	3	13	4	15	8	7
